Complaint Year Number;Month Number;Record Create Date;Complaint Precinct Code;County;Law Code Category Description;Offense Description;Bias Motive Description;Offense Category;Arrest Date
2022;9;09/23/2022;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;10/18/2022
2019;3;03/17/2019;9;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;03/17/2019
2019;6;06.07.2019;10;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-BLACK;Race/Color;06.07.2019
2019;11;11.11.2019;33;NEW YORK;FELONY;FELONY ASSAULT;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;11.11.2019
2019;12;12/23/2019;17;NEW YORK;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;12/23/2019
2020;3;03.10.2020;23;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;03/13/2020
2021;5;05/23/2021;26;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;05/27/2021
2021;9;09/23/2021;7;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;09/23/2021
2021;10;10/18/2021;18;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-BLACK;Race/Color;01.04.2022
2021;12;12.09.2021;28;NEW YORK;FELONY;ROBBERY;ANTI-TRANSGENDER;Gender;03/18/2022
2022;1;01/21/2022;7;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;04.12.2022
2022;4;04.06.2022;7;NEW YORK;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;04/26/2022
2022;7;07/13/2022;25;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-BLACK;Race/Color;07/13/2022
2021;6;06/25/2021;1;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;09/29/2022
2022;10;11.02.2022;17;NEW YORK;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;11.09.2022
2022;9;09.11.2022;10;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;11/23/2022
2020;4;04/26/2020;112;QUEENS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;07.07.2020
2020;11;11.07.2020;112;QUEENS;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;11.12.2020
2021;1;01/31/2021;110;QUEENS;VIOLATION;HARRASSMENT 2;ANTI-MUSLIM;Religion/Religious Practice;04/20/2021
2021;5;05/23/2021;107;QUEENS;FELONY;ROBBERY;ANTI-ASIAN;Race/Color;07/22/2021
2021;6;06/20/2021;103;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MUSLIM;Religion/Religious Practice;07/27/2021
2021;8;08.03.2021;104;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;08.03.2021
2021;7;08.08.2021;108;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09.07.2021
2022;2;02/15/2022;109;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-OTHER RELIGION;Religion/Religious Practice;02/15/2022
2022;4;04.03.2022;103;QUEENS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-MUSLIM;Religion/Religious Practice;04.02.2022
2022;4;04/26/2022;107;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MUSLIM;Religion/Religious Practice;04/26/2022
2022;7;07.09.2022;102;QUEENS;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;07/26/2022
2021;2;02.06.2021;6;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;09/27/2022
2022;10;10/29/2022;19;NEW YORK;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;11.09.2022
2022;11;11.12.2022;10;NEW YORK;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;11.12.2022
2019;9;09.12.2019;115;QUEENS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;01/22/2020
2021;3;03.12.2021;109;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;03.12.2021
2021;4;04/19/2021;110;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;04/19/2021
2021;9;05/21/2021;102;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-WHITE;Race/Color;05/28/2021
2021;6;06.06.2021;112;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;06/17/2021
2021;6;06/29/2021;115;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;06/29/2021
2022;7;07.09.2022;102;QUEENS;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;08/15/2022
2022;6;06/30/2022;121;RICHMOND;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/16/2022
2022;8;08.11.2022;123;RICHMOND;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-BLACK;Race/Color;08.11.2022
2022;12;12.04.2022;121;RICHMOND;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;12.06.2022
2019;6;06/30/2019;1;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;
2019;3;03.05.2019;6;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2019;7;07/24/2019;25;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;07/24/2019
2019;8;08/16/2019;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;08/16/2019
2019;8;08/23/2019;6;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;08/23/2019
2020;3;03.10.2020;23;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03/13/2020
2020;10;10/24/2020;7;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;10/24/2020
2021;5;05/20/2021;18;NEW YORK;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;05/20/2021
2021;5;05/20/2021;18;NEW YORK;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;06.08.2021
2021;5;05/20/2021;18;NEW YORK;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;06/23/2021
2021;6;06.04.2021;17;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;06/24/2021
2021;8;08/16/2021;6;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08/16/2021
2021;6;06/22/2021;19;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08/17/2021
2021;7;07/25/2021;20;NEW YORK;VIOLATION;HARRASSMENT 2;ANTI-ASIAN;Race/Color;08/27/2021
2022;1;01/18/2022;7;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-BLACK;Race/Color;01/18/2022
2022;2;02/19/2022;5;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;02/19/2022
2022;2;02/28/2022;9;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03.02.2022
2022;2;02.09.2022;14;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03/31/2022
2021;11;11/27/2021;26;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;12.02.2021
2019;11;11.03.2019;13;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-BLACK;Race/Color;01.05.2022
2022;2;02/17/2022;6;NEW YORK;FELONY;GRAND LARCENY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;02/17/2022
2022;3;03.09.2022;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03.09.2022
2022;3;03.12.2022;14;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;03/16/2022
2022;3;03.12.2022;9;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;08.05.2022
2022;2;02/18/2022;108;QUEENS;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;09/14/2022
2022;9;09.05.2022;26;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;09/22/2022
2022;7;07/26/2022;108;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;12/20/2022
2019;6;06/29/2019;110;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;07/23/2019
2020;3;03.12.2020;112;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;03/14/2020
2020;5;05/24/2020;112;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;05/24/2020
2020;5;06.04.2020;115;QUEENS;FELONY;GRAND LARCENY;60 YRS AND OLDER;Age;06.05.2020
2021;3;03/27/2021;115;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;03/27/2021
2021;7;07/18/2021;106;QUEENS;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;07/18/2021
2021;7;07/23/2021;25;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/23/2021
2021;7;07/23/2021;25;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/23/2021
2021;7;07/25/2021;5;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;07/27/2021
2021;11;11.03.2021;28;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;11.03.2021
2022;11;03.04.2022;25;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;03.04.2022
2022;3;03.06.2022;7;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03.06.2022
2022;3;03/18/2022;6;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03/18/2022
2022;6;06/15/2022;7;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;07/20/2022
2022;8;08/16/2022;106;QUEENS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-HINDU;Religion/Religious Practice;09/17/2022
2019;6;06/29/2019;110;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;06/29/2019
2020;8;09/15/2020;114;QUEENS;FELONY;FELONY ASSAULT;ANTI-BLACK;Race/Color;09/21/2020
2020;7;08.11.2020;100;QUEENS;VIOLATION;HARRASSMENT 2;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10/14/2020
2021;4;04.12.2021;114;QUEENS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;04.12.2021
2021;7;07.11.2021;107;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;07/22/2021
2021;2;03.11.2021;101;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09/23/2021
2022;5;05/19/2022;108;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;05/19/2022
2022;6;06.11.2022;6;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;06/17/2022
2022;8;08.04.2022;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;08.06.2022
2022;7;08.01.2022;17;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;09/16/2022
2022;10;10.12.2022;7;NEW YORK;FELONY;GRAND LARCENY;ANTI-CATHOLIC;Religion/Religious Practice;10/20/2022
2022;10;10/29/2022;13;NEW YORK;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;10/29/2022
2022;12;12.08.2022;13;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;12.08.2022
2019;2;02/23/2019;114;QUEENS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;02/23/2019
2019;4;04.03.2019;107;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;04.05.2019
2019;9;09.12.2019;115;QUEENS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;01/22/2020
2019;9;09.12.2019;115;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;01/22/2020
2020;6;06.06.2020;107;QUEENS;FELONY;FELONY ASSAULT;ANTI-BLACK;Race/Color;06.06.2020
2021;5;05/31/2021;110;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;06.03.2021
2021;9;09.05.2021;103;QUEENS;FELONY;DANGEROUS WEAPONS;ANTI-TRANSGENDER;Gender;09.05.2021
2021;10;10/17/2021;102;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;10/16/2021
2021;9;09/21/2021;103;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-CATHOLIC;Religion/Religious Practice;01/23/2022
2020;7;07/30/2020;120;RICHMOND;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;08.06.2020
2022;7;07/28/2022;17;NEW YORK;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;07/28/2022
2022;7;07/30/2022;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;08.06.2022
2022;11;11/20/2022;14;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;12.01.2022
2019;2;02/22/2019;112;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;03.05.2019
2020;10;10.02.2020;100;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10/14/2020
2021;10;10/17/2021;102;QUEENS;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;10/16/2021
2022;3;03.09.2022;103;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-CATHOLIC;Religion/Religious Practice;03/15/2022
2022;2;02/27/2022;109;QUEENS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;10.11.2022
2022;9;09/19/2022;109;QUEENS;MISDEMEANOR;SEX CRIMES;ANTI-BLACK;Race/Color;10/18/2022
2021;6;06/30/2021;122;RICHMOND;FELONY;FELONY ASSAULT;ANTI-BLACK;Race/Color;06/30/2021
2022;5;05.08.2022;121;RICHMOND;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;05/18/2022
2022;7;07/21/2022;122;RICHMOND;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;08/25/2022
2022;12;12.04.2022;121;RICHMOND;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;12.06.2022
2019;1;01/24/2019;1;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2019;5;05/23/2019;1;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2019;12;12.04.2019;1;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;
2019;7;07.09.2019;49;BRONX;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;07/21/2019
2020;7;07.07.2020;40;BRONX;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07.07.2020
2020;12;12/13/2020;40;BRONX;FELONY;FELONY ASSAULT;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;01.08.2021
2019;7;07/13/2019;76;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/13/2019
2019;12;12/27/2019;71;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/27/2019
2020;3;03.06.2020;84;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;03.06.2020
2020;5;05.12.2020;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;05.12.2020
2020;4;04/23/2020;90;KINGS;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;05/15/2020
2020;8;08.09.2020;60;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08.09.2020
2020;12;12/27/2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2022;2;02.05.2022;79;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;02.10.2022
2022;2;02.05.2022;90;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;03.03.2022
2022;4;04/25/2022;61;KINGS;FELONY;FELONY ASSAULT;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;04/25/2022
2022;5;07/29/2022;72;KINGS;MISDEMEANOR;OFFENSES AGAINST THE PERSON;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;07/29/2022
2022;6;06.06.2022;75;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08.02.2022
2021;1;01.07.2021;24;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;03/19/2021
2021;3;03/21/2021;7;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03/21/2021
2021;5;05/26/2021;14;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;05/26/2021
2021;6;06/23/2021;1;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/19/2021
2021;7;07/23/2021;25;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/23/2021
2021;5;05/22/2021;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;07/23/2021
2021;6;06/19/2021;14;NEW YORK;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;09/21/2021
2021;12;12.03.2021;1;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/16/2021
2021;10;10/31/2021;1;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;01/13/2022
2021;12;12.09.2021;13;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;01/20/2022
2022;2;02.07.2022;5;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-WHITE;Race/Color;02.07.2022
2021;4;04/15/2021;19;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;02/24/2022
2022;3;03.04.2022;25;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03.04.2022
2022;3;03.09.2022;14;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;03/22/2022
2022;6;06/13/2022;17;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;06/13/2022
2022;6;06/26/2022;7;NEW YORK;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;07/13/2022
2022;7;07/29/2022;14;NEW YORK;MISDEMEANOR;SEX CRIMES;ANTI-TRANSGENDER;Gender;07/29/2022
2021;8;08/26/2021;32;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08/26/2021
2021;9;09.04.2021;83;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09/13/2021
2021;12;12/14/2021;1;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/16/2021
2022;1;01/26/2022;25;NEW YORK;VIOLATION;HARRASSMENT 2;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;03.04.2022
2022;2;02/20/2022;10;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;03/15/2022
2022;4;04/15/2022;18;NEW YORK;FELONY;FELONY ASSAULT;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;04/20/2022
2022;6;06.11.2022;6;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;06/17/2022
2022;8;08/24/2022;1;NEW YORK;MISDEMEANOR;OFFENSES AGAINST PUBLIC ADMINI;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08/24/2022
2022;10;10.04.2022;1;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;10.04.2022
2019;10;10/15/2019;101;QUEENS;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;10/15/2019
2020;9;09.07.2020;101;QUEENS;FELONY;MURDER & NON-NEGL. MANSLAUGHTE;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09.07.2020
2022;2;02.11.2022;109;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-OTHER RELIGION;Religion/Religious Practice;02/15/2022
2022;3;03.12.2022;109;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;04.04.2022
2022;5;05/31/2022;84;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;06.02.2022
2022;8;08.01.2022;109;QUEENS;FELONY;FELONY ASSAULT;ANTI-JEHOVAHS WITNESS;Religion/Religious Practice;08.01.2022
2022;3;03.09.2022;13;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03.09.2022
2022;3;03/15/2022;1;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;03/15/2022
2022;3;03/25/2022;10;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;04.12.2022
2022;6;06.11.2022;6;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;06/17/2022
2022;6;06.12.2022;24;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;07.11.2022
2022;7;07/29/2022;10;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/28/2022
2022;4;04.06.2022;7;NEW YORK;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;11.08.2022
2022;4;04/24/2022;10;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;11/16/2022
2022;11;11/20/2022;14;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;11/29/2022
2019;2;02.11.2019;101;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;08/28/2019
2019;9;09.12.2019;115;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;01/22/2020
2020;2;02.04.2020;111;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;02.10.2020
2020;10;10.01.2020;114;QUEENS;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;10.01.2020
2021;3;03.12.2021;109;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;03.12.2021
2021;7;07/18/2021;106;QUEENS;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;07/18/2021
2021;3;03/30/2021;14;NEW YORK;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-ASIAN;Race/Color;05/18/2021
2021;5;05/20/2021;18;NEW YORK;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;07.07.2021
2021;9;09/21/2021;14;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;09/23/2021
2021;11;11/17/2021;18;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;11/17/2021
